"Species";"Site";"Model";"Nb Occ.";"Sample Bias";"Boyce_pvalue";"cAUC_pvalue";"AUC_pvalue";"TSS_pvalue"
"Timon lepidus";"Thau";"GLM";51;0,551;0,858918487801988;0,100349080122633;0,0635894185623322;0,0922840634692549
"Timon lepidus";"Thau";"RF";51;0,551;0,908715182401606;0,126169515690498;0,0851314577927755;0,0732193657108633
"Timon lepidus";"Thau";"SRE";51;0,551;0,719292035244603;0,519277629735707;0,417794585845642;0,371359710800046
"Triturus marmoratus";"Thau";"ANN";20;0,302;0,995585024159567;0,000000777049823624947;0,00000343793236553102;0,000000137678688521741
"Triturus marmoratus";"Thau";"CTA";20;0,302;0,56360606640584;0,269626715648368;0,424462447781939;0,301514668280772
"Triturus marmoratus";"Thau";"FDA";20;0,302;0,19925020136563;0,000626504637435909;0,00208102802536339;0,004947304135696
"Triturus marmoratus";"Thau";"GAM";20;0,302;0,996215800961454;0,0115721400527854;0,0345180987336074;0,00150489468359827
"Triturus marmoratus";"Thau";"GBM";20;0,302;NA;NA;NA;NA
"Triturus marmoratus";"Thau";"GLM";20;0,302;0,224934645491039;0,0160882246058202;0,0356141983856298;0,00372347077080206
"Triturus marmoratus";"Thau";"RF";20;0,302;0,999212320688006;0,555571779532815;0,698026382597986;0,802148877173814
"Triturus marmoratus";"Thau";"SRE";20;0,302;NA;0,00890941722961213;0,0241471626949022;0,015991647467626
"Accipiter gentilis";"Trondheim";"ANN";200;0,833;0,157910347874954;0,97711758589634;0,99964544492302;0,999584016649235
"Accipiter gentilis";"Trondheim";"CTA";200;0,833;0,972323138413719;0,727176966010156;0,983572164686409;0,972752808699408
"Accipiter gentilis";"Trondheim";"FDA";200;0,833;0,103171888790017;0,960785644715211;0,999733679033167;0,999282849025809
"Accipiter gentilis";"Trondheim";"GAM";200;0,833;0,119737820864233;0,995463180004032;0,99999234747362;0,999917953550979
"Accipiter gentilis";"Trondheim";"GBM";200;0,833;0,375655246046427;0,969025273635147;0,999852440099682;0,998894582564662
"Accipiter gentilis";"Trondheim";"GLM";200;0,833;0,00743350726651349;0,993868621727191;0,999981037345667;0,992129555002184
"Accipiter gentilis";"Trondheim";"RF";200;0,833;0,0103604952503634;0,988711686666503;0,999957851059925;0,99933282728168
"Accipiter gentilis";"Trondheim";"SRE";200;0,833;NA;0,995677337659696;0,999991561812203;0,999991239079674
"Accipiter nisus";"Trondheim";"ANN";309;0,945;0,304446938414441;0,999946137845609;0,993618787152851;0,926795319925117
"Accipiter nisus";"Trondheim";"CTA";309;0,945;0,420753109988149;0,999993960721656;0,998286926107553;0,995109023276369
"Accipiter nisus";"Trondheim";"FDA";309;0,945;0,000124025375185301;0,999999999536541;0,999998580038573;0,999353571658423
"Accipiter nisus";"Trondheim";"GAM";309;0,945;0,0493079710844187;0,999999953169666;0,99993599045605;0,999384047794324
"Accipiter nisus";"Trondheim";"GBM";309;0,945;0,192727004805218;0,999999999565232;0,999997119813496;0,999930080143152
"Accipiter nisus";"Trondheim";"GLM";309;0,945;0,0868383413636684;0,999999988375724;0,999982077831757;0,996807616946457
"Accipiter nisus";"Trondheim";"RF";309;0,945;0,237032063065031;0,999999999976673;0,99999980205653;0,999967520913024
"Accipiter nisus";"Trondheim";"SRE";309;0,945;NA;0,999999999987339;0,999999958224271;0,999999956364022
"Actitis hypoleucos";"Trondheim";"ANN";165;0,745;0,689305718518753;0,00431061132653866;0,902742002118837;0,90316693452137
"Actitis hypoleucos";"Trondheim";"CTA";165;0,745;0,0142348166127479;0,00000408739098315278;0,495962736334091;0,572226846574455
"Actitis hypoleucos";"Trondheim";"FDA";165;0,745;0,187957870129215;0,00000435203188865257;0,878201162627052;0,767740866624131
"Actitis hypoleucos";"Trondheim";"GAM";165;0,745;0,583830486227052;0,000108244589282865;0,994383618135818;0,959803494057571
"Actitis hypoleucos";"Trondheim";"GBM";165;0,745;0,773491601780877;0,00000882826002624662;0,97553372677722;0,934735946054198
"Actitis hypoleucos";"Trondheim";"GLM";165;0,745;0,552224694076633;0,0000871356360892183;0,968215681343819;0,713109167551988
"Actitis hypoleucos";"Trondheim";"RF";165;0,745;0,957601620100857;0,0000205394467506578;0,976418802034532;0,896431996656621
"Actitis hypoleucos";"Trondheim";"SRE";165;0,745;NA;0,0127274147585591;0,993701677492999;0,993638446239187
"Aegithalos caudatus";"Trondheim";"ANN";146;0,363;0,215991953927118;0,164816955737565;0,999352868280223;0,999460410075275
"Aegithalos caudatus";"Trondheim";"CTA";146;0,363;0,928410561585787;0,00162948579672812;0,942443517917275;0,974988009411959
"Aegithalos caudatus";"Trondheim";"FDA";146;0,363;0,0676469166058211;0,034246165421707;0,996180594714528;0,98825157492843
"Aegithalos caudatus";"Trondheim";"GAM";146;0,363;0,017673924680878;0,0232788382286182;0,997672649328925;0,995406880292757
"Aegithalos caudatus";"Trondheim";"GBM";146;0,363;0,522880638390548;0,0126827191105499;0,998511205764204;0,996702263161988
"Aegithalos caudatus";"Trondheim";"GLM";146;0,363;0,00918835009537166;0,00680686752895892;0,992367874848814;0,963779502638433
"Aegithalos caudatus";"Trondheim";"RF";146;0,363;0,188159664622162;0,0616760311248297;0,999935029384034;0,997682013037305
"Aegithalos caudatus";"Trondheim";"SRE";146;0,363;NA;0,00186831894670717;0,917380767297374;0,916608788430824
"Alauda arvensis";"Trondheim";"ANN";42;0,781;0,96899377387363;0,0000000000190160290618013;0,999657722507559;0,999586182056612
"Alauda arvensis";"Trondheim";"CTA";42;0,781;0,00674314094472399;0,000000000000112487781934772;0,914035037257285;0,953499921337184
"Alauda arvensis";"Trondheim";"FDA";42;0,781;0,932829743848916;0,0000000000000203321761560539;0,953112713797823;0,862184551657031
"Alauda arvensis";"Trondheim";"GAM";42;0,781;0,736008401434531;0,00000000696360324592589;0,996393773647135;0,997877002691356
"Alauda arvensis";"Trondheim";"GBM";42;0,781;0,997097641918479;0,00000000000508539399725651;0,999761801529055;0,999534482440041
"Alauda arvensis";"Trondheim";"GLM";42;0,781;0,735878711966826;0,00000000140533780822588;0,997866834488548;0,998333728023556
