"Species";"Site";"Model";"Schoener_Cor";"Schoener_Uncor";"Schoener_pvalue";"Pearson_Cor";"Pearson_Uncor";"Pearson_pvalue";"RMSE_Cor";"RMSE_Uncor";"RMSE_pvalue"
"Philocourdos belgiumensis";"Grote Nete";"CTA";0,816003573272407;0,814635306337943;0,21078130444404;0,916162106172931;0,916394376846656;0,588258323289581;177,65495909977;183,883601508892;0,00000000206276329350885
"Philocourdos belgiumensis";"Grote Nete";"SRE";0,735131979983674;0,733690786951139;0,0587594866574721;0,877895612903431;0,877117317381315;0,0648437452593606;224,737350976578;225,400361336516;0,0649836713230663
"Philocourdos belgiumensis";"Grote Nete";"RF";0,768808580877234;0,752907576190385;0,000000000000000000000000117862789521132;0,891727704904825;0,879614365430913;0,00000000000000000000000354461481379657;202,743520298281;214,827749767938;0
"Philocourdogenos belgiumensis";"Grote Nete";"GLM";0,874176918739805;0,852197626325119;0,0000000000000000000139336431041329;0,952407404366712;0,894125333467725;0,00000000000000000000000000000706861998293616;343,096947399136;373,321016186595;0
"Philocourdogenos belgiumensis";"Grote Nete";"GAM";0,864941489062827;0,838339308407828;0,0000000000000000000060375083491041;0,935973840445084;0,872807008849603;0,000000000000000000000000000146297389787022;348,369309616276;379,971869113872;0
"Philocourdogenos belgiumensis";"Grote Nete";"ANN";0,861746154763906;0,844293088491399;0,000000014667692418117;0,929255478482737;0,822691686590933;0,000000000000000000000000000212121489493383;348,82780351771;383,875154774458;0
"Philocourdogenos belgiumensis";"Grote Nete";"FDA";0,857002279874086;0,832265886290245;0,0000000000000000000000000252997151594738;0,919133050531031;0,816572119119854;0,00000000000000000000000000000000833383345010295;352,4867646374;386,947930213857;0
"Philocourdogenos belgiumensis";"Grote Nete";"GBM";0,857002279874086;0,867649883495543;0,999999960756944;0,919133050531031;0,821478291285458;0,00000000000000000000000000000000000000000000000000000000159210710201473;352,4867646374;373,523072380847;0
"Philocourdogenos belgiumensis";"Grote Nete";"CTA";0,838577262203872;0,810333813540261;0,0000000458419508716432;0,874096621872244;0,830921669149622;0,0000000512680082076391;365,493844806033;389,38125246096;0
"Philocourdogenos belgiumensis";"Grote Nete";"SRE";0,799247470641544;0,720178598178589;0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100377820523899;0,836321571426718;0,721891209382868;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000428065095808287;309,013343383585;391,144884230005;0
"Philocourdogenos belgiumensis";"Grote Nete";"RF";0,72057302375965;0,755647278189642;1;0,714034116682965;0,728083756523753;0,999996423349541;417,124756400291;423,546315270468;0,00000108199888959604
"Philoherbas belgiumensis";"Grote Nete";"GLM";0,00238167871131196;0,00567337428130769;0,967315428024919;-0,293586434300258;-0,292363432048521;0,586389185664639;520,727710045864;518,689174225298;0,941952984759514
"Philoherbas belgiumensis";"Grote Nete";"GAM";0,00550387664547139;0,00154382114574567;0,000284188176956712;-0,26425614797199;-0,29150199558887;0,0017402902540934;517,070838969;518,418172156883;0,129683469880628
"Philoherbas belgiumensis";"Grote Nete";"ANN";0,00425104568573863;0,020943893488829;0,971320424247982;-0,286968552341914;-0,276222118768725;0,999619697450071;520,217920058708;516,908990364836;0,999897156894116
