"Species";"Site";"Model";"Nb Occ.";"Sample Bias";"Boyce_pvalue";"cAUC_pvalue";"AUC_pvalue";"TSS_pvalue"
"Philocourdos thauensis";"Thau";"GLM";300;0,977;0,0375421504372418;0,0198488786057277;0,360439885196077;0,655594776730652
"Philocourdos thauensis";"Thau";"RF";300;0,977;0,7509306182756;0,140355693927545;0,75976601653892;0,840338024246493
"Philocourdos thauensis";"Thau";"SRE";300;0,977;NA;0,152526838619029;0,692366525265069;0,691720737261698
"Philograss thauensis";"Thau";"ANN";100;0,377;0,219471870802966;0,00647891415114686;0,951875576696995;0,720716481394031
"Philograss thauensis";"Thau";"CTA";100;0,377;NA;0,0159096676431777;0,900543318209298;0,900001548899872
"Philograss thauensis";"Thau";"FDA";100;0,377;0,647759130666129;0,0176797983898772;0,942449101279178;0,872716418187488
"Philograss thauensis";"Thau";"GAM";100;0,377;0,0917218976473193;0,00644548289335629;0,905980007156331;0,833218383556186
"Philograss thauensis";"Thau";"GBM";100;0,377;NA;NA;NA;NA
"Philograss thauensis";"Thau";"GLM";100;0,377;0,159263727092398;0,00609378341405523;0,953447151274469;0,673028833170145
"Philograss thauensis";"Thau";"RF";100;0,377;0,516285546553035;0,0272059339068881;0,933255668111797;0,840126192253779
"Philograss thauensis";"Thau";"SRE";100;0,377;NA;0,0163804526125147;0,63103653057811;0,633232145823085
"Philoherbagenos thauensis";"Thau";"ANN";80;0,627;0,967275485390616;0,0168532876895508;0,0257970083326095;0,174142385644114
"Philoherbagenos thauensis";"Thau";"CTA";80;0,627;0,587379675881752;0,14102751405069;0,196743176285981;0,323866949843517
"Philoherbagenos thauensis";"Thau";"FDA";80;0,627;0,94072933883581;0,0172786613108265;0,0293184183303965;0,0270282547089322
"Philoherbagenos thauensis";"Thau";"GAM";80;0,627;0,960693613235743;0,282222926807687;0,342679523599768;0,417388703577928
"Philoherbagenos thauensis";"Thau";"GBM";80;0,627;0,96664621696756;0,00857027046115363;0,0137041338685838;0,00633825621519696
"Philoherbagenos thauensis";"Thau";"GLM";80;0,627;0,57805804877997;0,0270802271073897;0,0386497713533099;0,0461140352305435
"Philoherbagenos thauensis";"Thau";"RF";80;0,627;0,973258407822785;0,00780166668489627;0,0123163534999193;0,026472830088345
"Philoherbagenos thauensis";"Thau";"SRE";80;0,627;0,800994677379823;0,0306901490310205;0,0484061156019727;0,0247036851632624
"Philoherbas thauensis";"Thau";"ANN";100;-0,348;0,996149527697868;0,186019921844474;0,945834716408088;0,875568326259248
"Philoherbas thauensis";"Thau";"CTA";100;-0,348;0,0912098559692486;0,000000214087251040408;0,211152754640111;0,0924576140059895
"Philoherbas thauensis";"Thau";"FDA";100;-0,348;0,579414281056272;0,00000172942320218969;0,510239249565787;0,612498327537927
"Philoherbas thauensis";"Thau";"GAM";100;-0,348;0,777473477151577;0,000165933142994017;0,79844934069607;0,362879941619988
"Philoherbas thauensis";"Thau";"GBM";100;-0,348;0,696976202389097;0,000000985318317592501;0,404458653222032;0,101857033790401
"Philoherbas thauensis";"Thau";"GLM";100;-0,348;0,826978510249695;0,00000365927691002606;0,512862522583366;0,508859723198025
"Philoherbas thauensis";"Thau";"RF";100;-0,348;0,800830448961995;0,00000039959857481886;0,332702966996962;0,127947999014553
"Philoherbas thauensis";"Thau";"SRE";100;-0,348;NA;0,00000000891148754845932;0,262430765567235;0,262252369273528
"Alteragris norwayensis";"Trondheim";"ANN";100;0,945;0,901845525755537;0,00317304371785257;0,450255792018264;0,820226028065212
"Alteragris norwayensis";"Trondheim";"CTA";100;0,945;NA;0,584593718499117;0,937112958748259;0,937112958748259
"Alteragris norwayensis";"Trondheim";"FDA";100;0,945;0,741982808730697;0,0611386321377694;0,609157052609971;0,6426210464156
"Alteragris norwayensis";"Trondheim";"GAM";100;0,945;0,892373077726414;0,102668630468184;0,715882015553229;0,828521043190298
"Alteragris norwayensis";"Trondheim";"GBM";100;0,945;NA;NA;NA;NA
"Alteragris norwayensis";"Trondheim";"GLM";100;0,945;0,856485562514337;0,00541667853558526;0,435791990612432;0,741676297965146
"Alteragris norwayensis";"Trondheim";"RF";100;0,945;0,867831051853039;0,118626506406954;0,843423061284353;0,921554791464813
"Alteragris norwayensis";"Trondheim";"SRE";100;0,945;NA;0,048725790879036;0,232792484253608;0,232792484253605
"Fugiagrisnorwayensis";"Trondheim";"ANN";300;-0,146;0,106435411053198;0,0286280056893972;0,447817579278017;0,232432079532025
"Fugiagrisnorwayensis";"Trondheim";"CTA";300;-0,146;0,734023744900002;0,00335316014037599;0,297058757386159;0,215162557745571
"Fugiagrisnorwayensis";"Trondheim";"FDA";300;-0,146;0,290448653943168;0,176545932898169;0,859995138526068;0,833645791742553
"Fugiagrisnorwayensis";"Trondheim";"GAM";300;-0,146;0,694852584666228;0,306242918640401;0,929387893997709;0,75713316474391
"Fugiagrisnorwayensis";"Trondheim";"GBM";300;-0,146;0,972606622820256;0,62385158567332;0,98937489810284;0,381067608461712
"Fugiagrisnorwayensis";"Trondheim";"GLM";300;-0,146;0,299225611670433;0,0534448501089332;0,614353622323597;0,809622410556504
"Fugiagrisnorwayensis";"Trondheim";"RF";300;-0,146;0,970501845996898;0,224468785321893;0,907007124498897;0,272532627046499
"Fugiagrisnorwayensis";"Trondheim";"SRE";300;-0,146;NA;0,0105501761860283;0,333958482409538;0,340392151270085
"Philocourdogenos norwayensis";"Trondheim";"ANN";300;0,809;0,97327312166196;0,00000130919267087;0,975447790944727;0,996531136683581
"Philocourdogenos norwayensis";"Trondheim";"CTA";300;0,809;0,0847197660107558;0,000000067676549645806;0,998923764450702;0,999558469229698
"Philocourdogenos norwayensis";"Trondheim";"FDA";300;0,809;0,998135647539515;0,0000191256611275965;0,999947806277544;0,9999828704678
"Philocourdogenos norwayensis";"Trondheim";"GAM";300;0,809;0,999999999843459;0,00272799076243486;0,999997162009973;0,999998522391566
"Philocourdogenos norwayensis";"Trondheim";"GBM";300;0,809;NA;NA;NA;NA
"Philocourdogenos norwayensis";"Trondheim";"GLM";300;0,809;0,999999999673704;0,000354351991800985;0,999630050125513;0,999987644669843
"Philocourdogenos norwayensis";"Trondheim";"RF";300;0,809;0,999999999983046;0,0222356771284219;0,999999667479681;0,999997481649766
"Philocourdogenos norwayensis";"Trondheim";"SRE";300;0,809;NA;0,000000536396325074581;0,999990798682906;0,999990436770546
"Philocourdos norwayensis";"Trondheim";"ANN";300;0,846;0,999942731150077;0,00000000000726441563188588;0,385395369279653;0,0904670878736194
"Philocourdos norwayensis";"Trondheim";"CTA";300;0,846;0,510678386349618;0,0000000000256400553891752;0,972082701933718;0,799993225942523
"Philocourdos norwayensis";"Trondheim";"FDA";300;0,846;0,99970920287638;0,000000185302712604209;0,96788591342367;0,566437706374295
"Philocourdos norwayensis";"Trondheim";"GAM";300;0,846;0,999649729853492;0,000000000660099518259306;0,888708819241564;0,90189350411578
"Philocourdos norwayensis";"Trondheim";"GBM";300;0,846;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GLM";300;0,846;0,999960078679896;0,00000000115175230593609;0,822707254058783;0,80433883079372
"Philocourdos norwayensis";"Trondheim";"RF";300;0,846;0,999999691601983;0,00000000337450924134208;0,98845754761725;0,895811386976581
"Philocourdos norwayensis";"Trondheim";"SRE";300;0,846;NA;0,00000000000095007914741776;0,335581234443444;0,336215891766011
"Philograss norwayensis";"Trondheim";"ANN";100;0,958;0,968595273882036;0,998498553571825;0,999414312513351;0,997902486993236
"Philograss norwayensis";"Trondheim";"CTA";100;0,958;NA;0,999151824210924;0,999722077957808;0,999740882768535
"Philograss norwayensis";"Trondheim";"FDA";100;0,958;0,732324477967607;0,995691045985943;0,998399011886609;0,998092230663149
"Philograss norwayensis";"Trondheim";"GAM";100;0,958;0,00188084186363984;0,977114879481011;0,988463437555039;0,995461953577177
"Philograss norwayensis";"Trondheim";"GBM";100;0,958;NA;NA;NA;NA
"Philograss norwayensis";"Trondheim";"GLM";100;0,958;0,195507049615816;0,989195369126741;0,994890057458546;0,998648191501411
"Philograss norwayensis";"Trondheim";"RF";100;0,958;0,3060443622143;0,998286971223781;0,999355009599202;0,999290466201701
"Philograss norwayensis";"Trondheim";"SRE";100;0,958;NA;0,99647042264764;0,998597740605047;0,998599005382065
"Philoherbagenos norwayensis";"Trondheim";"ANN";80;0,777;0,999758861401401;0,0130476845515856;0,0829159383373161;0,11617819548955
"Philoherbagenos norwayensis";"Trondheim";"CTA";80;0,777;0,189617778566471;0,541896153274856;0,919261696844705;0,806056025604399
"Philoherbagenos norwayensis";"Trondheim";"FDA";80;0,777;0,999992597858761;0,876707728539902;0,991000662695523;0,97130222301185
"Philoherbagenos norwayensis";"Trondheim";"GAM";80;0,777;0,999999999986474;0,842063598352783;0,983622689911963;0,973518970669957
"Philoherbagenos norwayensis";"Trondheim";"GBM";80;0,777;NA;NA;NA;NA
"Philoherbagenos norwayensis";"Trondheim";"GLM";80;0,777;0,999999999758932;0,748085106265924;0,963259722867232;0,857973117749445
"Philoherbagenos norwayensis";"Trondheim";"RF";80;0,777;0,999999999999999;0,365304109557002;0,820551173252968;0,932577636182118
"Philoherbagenos norwayensis";"Trondheim";"SRE";80;0,777;NA;0,0130880625646107;0,154834812815788;0,154863592523474
"Philoherbas norwayensis";"Trondheim";"ANN";100;0,76;0,929298314429939;0,00000000000000000000000104057810120452;0,258870787102791;0,0540022871980476
"Philoherbas norwayensis";"Trondheim";"CTA";100;0,76;NA;0,00000000000000000000000470730545798823;0,0841567187782415;0,0574193100932776
"Philoherbas norwayensis";"Trondheim";"FDA";100;0,76;0,0364107427537609;0,00000000000000000000000000486852530994452;0,147897084460828;0,0643083350142929
"Philoherbas norwayensis";"Trondheim";"GAM";100;0,76;0,844031533701096;0,0000000000000000000000002904691630433;0,468524758839492;0,140735525299047
"Philoherbas norwayensis";"Trondheim";"GBM";100;0,76;0,985417575062965;0,0000000000000000000000138534383685511;0,783547200441709;0,113708247738334
"Philoherbas norwayensis";"Trondheim";"GLM";100;0,76;0,986967192154411;0,000000000000000000000000112582901705858;0,200044463609146;0,104766409115389
"Philoherbas norwayensis";"Trondheim";"RF";100;0,76;0,947950617220722;0,0000000000000000000000000147624865953767;0,401549002357182;0,200763096158493
"Philoherbas norwayensis";"Trondheim";"SRE";100;0,76;NA;0,00000000000000000000164589038962732;0,00137957865821409;0,00137957865821409
