"Species";"Site";"Model";"Nb Occ.";"Sample Bias";"Schoener_Cor_Cor";"Schoener_Uncor_Cor";"Pearson_Cor_Cor";"Pearson_Uncor_Cor";"Spearman_Cor_Cor";"Spearman_Uncor_Cor";"ROI_Schoener";"ROI_Pearson";"ROI_Spearman";"Schoener_pvalue"
"Alteragris belgiumensis";"Grote Nete";"SRE";100;0,317;0,966945512333187;0,959397095101918;0,962703583889691;0,954004375564145;0,962703583889691;0,954004375564145;0,00780645562235934;0,0044322578289206;0,0044322578289206;0,0000126491191619915
"Fugiagrisbelgiumensis";"Grote Nete";"SRE";300;0,89;0,975267704801914;0,971140597299185;0,984785670336195;0,98239626341773;0,984785670336195;0,98239626341773;0,00423176885936902;0,00120386143157706;0,00120386143157706;0,00170105985836368
"Philocourdogenos belgiumensis";"Grote Nete";"SRE";300;0,961;0,991002068695425;0,897656670168507;0,984782732978009;0,857347083257068;0,984782732978009;0,857347083257068;0,0941929401315975;0,0642063474271232;0,0642063474271232;0
"Philocourdos belgiumensis";"Grote Nete";"SRE";300;0,764;0,987104078726777;0,98632352978903;0,989392174805699;0,989223839068402;0,989392174805698;0,989223839068402;0,000790746340299181;0,0000846166680596613;0,0000846166680596613;0,0473668633903416
"Philograss belgiumensis";"Grote Nete";"SRE";100;0,62;0,988303543580375;0,946956272845189;0,985883955907465;0,931905967178842;0,985883955907465;0,931905967178842;0,0418366108305104;0,0271808373133049;0,0271808373133049;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000430806010681127
"Philoherbagenos belgiumensis";"Grote Nete";"SRE";80;0,634;0,897136863379063;0,904627792568289;0,917811302550327;0,923822704056413;0,917811302550327;0,923822704056413;-0,00834981761981196;-0,00313451146006486;-0,00313451146006486;0,952839719304807
"Philoherbas belgiumensis";"Grote Nete";"SRE";80;-0,87;0,961027484427244;0,957504283204192;0,978211917750645;0,976314320977819;0,978211917750645;0,976314320977819;0,00366607748492419;0,000959248478789705;0,000959248478789705;0,0367780293018759
"Alteragris thauensis";"Thau";"SRE";100;0,821;0,907361387891404;0,900958916658827;0,89457991920411;0,882803777830454;0,89457991920411;0,882803777830454;0,00705614247863808;0,00621570051191203;0,00621570051191203;0,00263269147213379
"Fugiagristhauensis";"Thau";"SRE";300;0,985;0,970752757459063;0,865863968215758;0,973848195349623;0,877057784606925;0,973848195349623;0,877057784606925;0,1080489222795;0,04903640055539;0,04903640055539;0
"Philocourdogenos thauensis";"Thau";"SRE";300;0,993;0,978961593986857;0,980750316055456;0,982150687240861;0,983499924608431;0,982150687240861;0,983499924608431;-0,0018271626584592;-0,00068069364062729;-0,00068069364062729;0,985449491316959
"Philocourdos thauensis";"Thau";"SRE";300;0,977;0,978080427414968;0,977447468697034;0,985710126117666;0,985093443131641;0,985710126117666;0,985093443131641;0,000647143834180504;0,000310560427684403;0,000310560427684403;0,198615360041695
"Philograss thauensis";"Thau";"SRE";100;0,377;0,920716911520841;0,908664889292432;0,954680138296475;0,948226010020516;0,954680138296475;0,948226010020516;0,0130898238944053;0,00330188461503658;0,00330188461503652;0,00529665731073364
"Philoherbagenos thauensis";"Thau";"SRE";80;0,627;0,946246846924049;0,906339391311841;0,900008873926076;0,823924428474457;0,900008873926076;0,823924428474457;0,0421744661468986;0,0400442579483338;0,0400442579483338;0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001130858642613
"Philoherbas thauensis";"Thau";"SRE";100;-0,348;0,924065042779154;0,922298237515488;0,939774641038667;0,937543079589351;0,939774641038667;0,937543079589351;0,0019119923185843;0,00115042304508196;0,00115042304508202;0,235138422910203
"Alteragris norwayensis";"Trondheim";"SRE";100;0,945;0,94847610935203;0,950589827221537;0,971753773950072;0,972800847430631;0,971753773950072;0,972800847430631;-0,00222854097078981;-0,000531036630634284;-0,000531036630634228;0,81622062571483
"Fugiagrisnorwayensis";"Trondheim";"SRE";300;-0,146;0,97484006216935;0,971175479827716;0,979151449974209;0,977488061501527;0,979151449974209;0,977488061501527;0,00375916263994969;0,000840455374298584;0,000840455374298584;0,00000277280495022879
"Philocourdogenos norwayensis";"Trondheim";"SRE";300;0,809;0,98385680819698;0,737685668960787;0,975078402183748;0,686460190356314;0,975078402183748;0,686460190356314;0,250210332626886;0,146130002489178;0,146130002489178;0
"Philocourdos norwayensis";"Trondheim";"SRE";300;0,846;0,984003592355451;0,741720588638778;0,986014160170095;0,810196495988303;0,986014160170095;0,810196495988303;0,246221665854603;0,0885279006101015;0,0885279006101016;0
"Philograss norwayensis";"Trondheim";"SRE";100;0,958;0,982310926202573;0,982663758481703;0,988897532766905;0,988860346122319;0,988897532766905;0,988860346122319;-0,000359185945832802;0,0000186971143429876;0,0000186971143429317;0,683648685667466
"Philoherbagenos norwayensis";"Trondheim";"SRE";80;0,777;0,940415905439001;0,853786513007954;0,902596983660408;0,773511331147131;0,902596983660409;0,773511331147131;0,0921181701947146;0,0678470814480791;0,0678470814480791;0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000288334171199618
"Philoherbas norwayensis";"Trondheim";"SRE";100;0,76;0,97079179196538;0,495954076098584;0,983476573263688;0,677029012435846;0,983476573263689;0,677029012435846;0,4891241559691;0,154500216921444;0,154500216921444;0
