"Species";"Site";"Model";"CV";"PA";"Group";"Nb Occ.";"Sample Bias";"Jaccard";"Bray-Curtis";"Boyce";"cAUC";"AUC";"TSS"
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA9";"Uncorrected";300;0,846;0,5;0,913361400398848;0,716;0,729230936613056;0,915;0,683
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA9";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA10";"Uncorrected";300;0,846;0,5;0,913361400398848;0,46;0,664230936613056;0,85;0,633
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA10";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA1";"Uncorrected";300;0,846;0,5;0,913361400398848;0,874;0,624230936613056;0,81;0,683
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA1";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA2";"Uncorrected";300;0,846;0,5;0,913361400398848;0,874;0,759230936613056;0,945;0,8
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA2";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA3";"Uncorrected";300;0,846;0,5;0,913361400398848;0,936;0,662230936613056;0,848;0,717
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA3";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA4";"Uncorrected";300;0,846;0,5;0,913361400398848;0,46;0,716230936613056;0,902;0,75
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA4";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA5";"Uncorrected";300;0,846;0,5;0,913361400398848;0,528;0,677230936613056;0,863;0,75
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA5";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA6";"Uncorrected";300;0,846;0,5;0,913361400398848;0,727;0,660230936613056;0,846;0,667
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA6";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA7";"Uncorrected";300;0,846;0,5;0,913361400398848;0,148;0,721230936613056;0,907;0,833
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA7";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA8";"Uncorrected";300;0,846;0,5;0,913361400398848;0,677;0,715230936613056;0,901;0,8
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA8";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA9";"Uncorrected";300;0,846;0,5;0,913361400398848;0,739;0,708230936613056;0,894;0,683
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA9";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA10";"Uncorrected";300;0,846;0,5;0,913361400398848;0,704;0,684230936613056;0,87;0,7
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN2";"PA10";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA1";"Uncorrected";300;0,846;0,5;0,913361400398848;0,783;0,677230936613056;0,863;0,717
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA1";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA2";"Uncorrected";300;0,846;0,5;0,913361400398848;0,719;0,697230936613056;0,883;0,733
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA2";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA3";"Uncorrected";300;0,846;0,5;0,913361400398848;0,725;0,750230936613056;0,936;0,817
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA3";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA4";"Uncorrected";300;0,846;0,5;0,913361400398848;0,835;0,665230936613056;0,851;0,683
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA4";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA5";"Uncorrected";300;0,846;0,5;0,913361400398848;0,277;0,739230936613056;0,925;0,8
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA5";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA6";"Uncorrected";300;0,846;0,5;0,913361400398848;0,883;0,699230936613056;0,885;0,717
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA6";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA7";"Uncorrected";300;0,846;0,5;0,913361400398848;0,801;0,728230936613056;0,914;0,767
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA7";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA8";"Uncorrected";300;0,846;0,5;0,913361400398848;0,66;0,692230936613056;0,878;0,717
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA8";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA9";"Uncorrected";300;0,846;0,5;0,913361400398848;0,636;0,674230936613056;0,86;0,717
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA9";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA10";"Uncorrected";300;0,846;0,5;0,913361400398848;0,758;0,728230936613056;0,914;0,733
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN3";"PA10";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA1";"Uncorrected";300;0,846;0,5;0,913361400398848;0,787;0,751230936613056;0,937;0,8
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA1";"Corrected";300;0,846;0,5;0,913361400398848;0,644;0,803053352769679;0,906;0,75
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA2";"Uncorrected";300;0,846;0,5;0,913361400398848;0,912;0,694230936613056;0,88;0,7
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA2";"Corrected";300;0,846;0,5;0,913361400398848;0,559;0,730053352769679;0,833;0,543
